artist,song,album,genres,total_plays,song_length_ms,total_elapsed_ms
JID,Community (Explicit),God Does Like Ugly (Explicit),"hip hop,hip-hop",2,265527,292466
FKA twigs,careless (feat. daniel caesar),CAPRISONGS (Explicit),electronic,2,216760,433376
Hozier,De Selby (Part 2),Unreal Unearth_ Unaired,"",2,227826,455482
Odeal,In the Chair,The Summer That Saved Me (Explicit),"",2,137746,103281
Kanye West,Famous (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",2,196040,392044
Lauryn Hill,Intro,The Miseducation of Lauryn Hill,"soul,hip-hop,rnb,female vocalists",2,47293,94550
Rihanna,James Joint (Explicit),ANTI (Explicit),"rnb,soul,hip-hop,pop,dancehall",2,72080,73089
Dexta Daps,Leave Her Alone (Explicit),VENT (Explicit),"dancehall,reggae",2,196000,391836
Florence + The Machine,Never Let Me Go,Ceremonials,"indie,female vocalists,alternative,indie pop,british",2,270973,541884
Arctic Monkeys,Arabella,AM,"indie rock,rock,indie,alternative,british",2,207356,414614
Odeal,Obi's Interlude,The Summer That Saved Me (Explicit),"",2,176493,328050
BLK ODYSSY,DAISIES (Explicit),BLK VINTAGE_ THE REPRISE (Explicit),"",2,223897,447680
Solange,Don't Wish Me Well,A Seat at the Table (Explicit),"neo-soul,rnb",2,255626,322849
Kanye West,Feedback (Explicit),The Life Of Pablo (Explicit),"hip hop,rap",2,147240,294452
Lauryn Hill,Can't Take My Eyes Off of You ((I Lov,The Miseducation of Lauryn Hill,"soul,hip-hop,rnb,female vocalists",2,221466,108297
Beyoncé,DON’T HURT YOURSELF,Lemonade (Explicit),"pop,rnb,soul,rock",2,233656,467278
Hozier,Cherry Wine (Live) (Live),Hozier (Explicit),"soul,indie,blues,folk,indie rock",2,240146,132724
BLK ODYSSY,DRINKING GOOD (Explicit),BLK VINTAGE_ THE REPRISE (Explicit),"",2,287373,574740
FKA twigs,darjeeling (feat jorja smith & unknown,CAPRISONGS (Explicit),electronic,2,183666,367246
Ariana Grande,Into You,Dangerous Woman (Explicit),"pop,rnb",2,244440,464691
